name,affiliation,role,twitter_handle,threads_handle,threads_url
AF,,papers,,aipaperaf,https://www.threads.net/@aipaperaf
AK,Hugging Face,,_akhaliq,_akhaliq,https://www.threads.net/@_akhaliq
Abi Aryan,<stealth>,"MLE, author",GoAbiAryan,goabiaryan,https://www.threads.net/@goabiaryan
Adi Polak,Prev Microsoft,SWE,AdiPolak,polak.code,https://www.threads.net/@polak.code
Aishwarya Srinivasan,Google,Data Scientist,Aishwarya_Sri0,the.datascience.gal,https://www.threads.net/@the.datascience.gal
Alena Harley,Tempus Labs,Director of Machine Learning,alenushka,alena.harley,https://www.threads.net/@alena.harley
Alethea Power, formerly OpenAI, "Reasoning and Interpretability research",exteriorpower,exteriorpower,https://www.threads.net/@exteriorpower
Andrej Karpathy,OpenAI,Research,karpathy,karpathy,https://www.threads.net/@karpathy
Andrew,Cartwheel,Chief generative officer,,carrandrew,https://www.threads.net/@carrandrew
Angela Zhou,USC,Asst Prof,SHyperplane,separated_hyperplane,https://www.threads.net/@separated_hyperplane
Anthony Shoumikhin,Meta,Pytorch SWE,shoumikhin,shoumikhin,https://www.threads.net/@shoumikhin
Aran Komatsuzaki,EleutherAI,Lead Researcher,arankomatsuzaki,arankomatsuzaki,https://www.threads.net/@arankomatsuzaki
Ben Murdoch,Google,AI research,,ben.murdoch,https://www.threads.net/@ben.murdoch
Berivan Isik,Stanford,PhD,BerivanISIK,berivan.isik_,https://www.threads.net/@berivan.isik_
Bert Maher,Meta,"Principal Software Engineer, Pytorch",,bertmaher,https://www.threads.net/@bertmaher
Bhavul Gauri,Meta,Senior ML Eng,BhavulGauri,bhavulgauri,https://www.threads.net/@bhavulgauri
Bojan Tunguz,NVIDIA,ML/Data Scientist,tunguz,tunguz,https://www.threads.net/@tunguz
Carly Taylor,Activision,ML for Call of Duty,carlymachinelearning,carlymachinelearning,https://www.threads.net/@carlymachinelearning
Caroline Lo,Meta,ML/DS,,watsuen,https://www.threads.net/@watsuen
Chris Albon,Wikimedia,Director of ML,chrisalbon,chrisalbon,https://www.threads.net/@chrisalbon
Chris Olah,Anthropic,"Research, Interpretability",olahchristopher,ch402,https://www.threads.net/@ch402
Clem Delangue,Hugging Face,CEO/co-founder,ClementDelangue,clementdelangue,https://www.threads.net/@clementdelangue
Desi R. Ivanova,Oxford,DPhil in Statistics,desirivanova,drivanova1,https://www.threads.net/@drivanova1
Devi Parikh,Meta,"Research Director, Generative AI",deviparikh,deviparikh,https://www.threads.net/@deviparikh
Divam Gupta,Meta,AI for VR,divamgupta,divamgupta,https://www.threads.net/@divamgupta
Diyi Yang,Stanford AI Lab,Assistant Professor,Diyi_Yang,diyiy,https://www.threads.net/@diyiy
Edward Z. Yang,Meta,work on Pytorch,ezyang,ezyang00,https://www.threads.net/@ezyang00
Elvis Saravia,DAIR,Machine Learning & NLP,omarsar0,omarsar0,https://www.threads.net/@omarsar0
Eugene Yan,Amazon,"Building ml, recsys, & llm systems",eugeneyan,eugeneyan,https://www.threads.net/@eugeneyan
Giovanni Alcantara,Meta,AI,gvnalc,gvnalc,https://www.threads.net/@gvnalc
Gowthami Somepalli,Univ of Maryland,grad student in ML,gowthami_s,gowthami_som,https://www.threads.net/@gowthami_som
Hilary Mason,Fast Forward Labs,Founder & CEO,?,hilaryamason,https://www.threads.net/@hilaryamason
Horace He,Meta,Pytorch,cHHillee,chhilleee,https://www.threads.net/@chhilleee
Irene Teinemaa,DeepMind,Research Engineer,IreneTeinemaa,ireneteinemaa,https://www.threads.net/@ireneteinemaa
James Bradbury,Google,"JAX, TPUs, and LLMs",jekbradbury,jekbradbury,https://www.threads.net/@jekbradbury
Jessy Li,University of Texas,"Assistant Professor, computational linguistics and NLProc",jessyjli,jessyjli,https://www.threads.net/@jessyjli
Jim Fan,NVIDIA,Senior AI Scientist,DrJimFan,dr.jimfan,https://www.threads.net/@dr.jimfan
Jonathan Smith,Meta,ML Research,jonathanajsmith,jonathanajsmith,https://www.threads.net/@jonathanajsmith
Josh Constine,SignalFire,Investor,JoshConstine,joshsc,https://www.threads.net/@joshsc
Julien Chaumond,Hugging Face,CTO/co-founder,julien_c,chaumond,https://www.threads.net/@chaumond
Jupyter Meowbooks,,Memes,untitled01ipynb,untitled01ipynb,https://www.threads.net/@untitled01ipynb
Laurence Rouesnel,Meta,Pytorch,_laurencer,laurencerouesnel,https://www.threads.net/@laurencerouesnel
Logan Kilpatrick,OpenAI,Developer Relations,logankilpatrick,logankilpatrick,https://www.threads.net/@logankilpatrick
Maria Antoniak,Allen Institute for AI,Postdoc,maria_antoniak,maria.antoniak,https://www.threads.net/@maria.antoniak
Matt Rurck,FirstMark,VC,mattturck,mattturck,https://www.threads.net/@mattturck
Matthew Lynley,Supervised.News,Writer,mattlynley,mattlynley,https://www.threads.net/@mattlynley
Megan Risdal,"Kaggle, Google",Product work,MeganRisdal,meganrisdal,https://www.threads.net/@meganrisdal
Michael Voznesensky,Meta,Pytorch Eng,,vozfb,https://www.threads.net/@vozfb
Miguel Angel Bautista,Apple,ML Research,itsbautistam,itsbautistam,https://www.threads.net/@itsbautistam
Miguel Núñez,HHMI | Janelia,Neuro (Data) Scientist,NunezKant,nunezkant,https://www.threads.net/@nunezkant
Min-Hung (Steve) Chen,NVIDIA,Senior Research Scientist,CMHungSteven,cmhungsteve,https://www.threads.net/@cmhungsteve
Mina Lee,Microsoft Research,Postdoc,MinaLee__,minaminalee,https://www.threads.net/@minaminalee
Natalia Burina,Formerly Meta,AI Product,Nale,nataliaburina,https://www.threads.net/@nataliaburina
Nathan Lambert,Hugging Face,Machine learning RESEARCHER & WRITER,natolambert,natolambert,https://www.threads.net/@natolambert
Noam Brown,OpenAI,AI researcher,polynoamial,polynoamial,https://www.threads.net/@polynoamial
Paige Bailey,DeepMind,Product Lead for Generative Models,DynamicWebPaige,dynamicwebpaige,https://www.threads.net/@dynamicwebpaige
Phillip Rust,Meta,nlp/ml phd student,rust_phillip,phillip.rust,https://www.threads.net/@phillip.rust
Pranav Shyam,DeepMind,Researcher,recurseparadox,prnvshym,https://www.threads.net/@prnvshym
Prof. Anima Anandkumar,Caltech/Nvidia,Bren Professor @caltech / Sr Director of AI research @nvidia,AnimaAnandkumar,animaanandkumar,https://www.threads.net/@animaanandkumar
Randy Ardywibowo,Apple,Machine Learning Engineer,RandyArdywibowo,randy.pth,https://www.threads.net/@randy.pth
Ross Taylor,Meta,Research,rosstaylor90,rawsstaylor,https://www.threads.net/@rawsstaylor
Sakib Dadi,BessemerVP,Investor,SakibDadi,sakibdadi,https://www.threads.net/@sakibdadi
Sam Altman,OpenAI,CEO/co-founder,sama,samaltman99,https://www.threads.net/@samaltman99
Sarah Floris,,Senior Data and ML Platform Enginee,ADutchEngineer,adutchengineer,https://www.threads.net/@adutchengineer
Sasha Rush,"Cornell University, Hugging Face ","Associate Professor, Researcher",srush_nlp,srush_nlp,https://www.threads.net/@srush_nlp
Shobeir Fakhraei,Amazon,Senior Machine Learning Scientist,shobeirf,shobeirf,https://www.threads.net/@shobeirf
"Sophia Yang, Ph.D.",Anaconda,Senior Data Scientist,sophiamyang,sophiamyang,https://www.threads.net/@sophiamyang
Soumith Chintala,Meta,Pytorch lead,soumithchintala,soumith,https://www.threads.net/@soumith
Stanford Institute for Human-Centered AI,Stanford,Institute for Human-Centered AI,StanfordHAI,stanfordhai,https://www.threads.net/@stanfordhai
Sujan Kumar Gonugondla,AWS,Sr ML Scientist,-,sujankumar91,https://www.threads.net/@sujankumar91
Tali Herzka,Github,Copilot SWE,therzka,therzka,https://www.threads.net/@therzka
Tamsin Crossland,The AI Book,co-author,CrosslandTamsin,tamsin_crossland,https://www.threads.net/@tamsin_crossland
Thomas Kipf,DeepMind,AI Research,tkipf,thomaskipf,https://www.threads.net/@thomaskipf
Tim Tully,Menlo Ventures,Partner,timt,timtimtimt,https://www.threads.net/@timtimtimt
Yana Welinder,Kraftful,CEO / Cofounder,yanatweets,yanawelinder,https://www.threads.net/@yanawelinder
Yann LeCun,Meta/NYU,Chief AI Scientist/Professor,ylecun,yannlecun,https://www.threads.net/@yannlecun
Yoshitomo Matsubara,Amazon,Alexa AI Applied Scientist,yoshitomo_cs,yoshitomo_cs,https://www.threads.net/@yoshitomo_cs
